"filename", "language", "Docker", "Python", "YAML", "pip requirements", "Ini", "comment", "blank", "total"
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\Dockerfile", "Docker", 7, 0, 0, 0, 0, 5, 8, 20
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\requirements.txt", "pip requirements", 0, 0, 0, 17, 0, 0, 1, 18
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\alembic.ini", "Ini", 0, 0, 0, 0, 92, 0, 24, 116
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\api\dependencies.py", "Python", 0, 22, 0, 0, 0, 0, 17, 39
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\api\interview_router.py", "Python", 0, 267, 0, 0, 0, 5, 103, 375
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\api\message_router.py", "Python", 0, 28, 0, 0, 0, 1, 8, 37
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\api\resume_router.py", "Python", 0, 33, 0, 0, 0, 1, 11, 45
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\api\telegram_router.py", "Python", 0, 76, 0, 0, 0, 0, 34, 110
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\api\user_router.py", "Python", 0, 29, 0, 0, 0, 3, 5, 37
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\auth\auth.py", "Python", 0, 34, 0, 0, 0, 1, 20, 55
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\auth\database.py", "Python", 0, 30, 0, 0, 0, 0, 24, 54
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\auth\manager.py", "Python", 0, 42, 0, 0, 0, 13, 17, 72
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\auth\schemas.py", "Python", 0, 24, 0, 0, 0, 0, 10, 34
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\config.py", "Python", 0, 26, 0, 0, 0, 0, 14, 40
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\database\database.py", "Python", 0, 9, 0, 0, 0, 0, 7, 16
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\database\redis.py", "Python", 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\main.py", "Python", 0, 69, 0, 0, 0, 0, 27, 96
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\migrations\env.py", "Python", 0, 42, 0, 0, 0, 31, 18, 91
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\migrations\versions\2b41b234e26d_.py", "Python", 0, 11, 0, 0, 0, 12, 8, 31
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\migrations\versions\2c166748c416_.py", "Python", 0, 11, 0, 0, 0, 12, 8, 31
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\migrations\versions\4e920ce4f89a_.py", "Python", 0, 54, 0, 0, 0, 12, 7, 73
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\migrations\versions\99fd12a15de4_.py", "Python", 0, 12, 0, 0, 0, 12, 7, 31
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\migrations\versions\a63e4ef3c174_.py", "Python", 0, 11, 0, 0, 0, 12, 8, 31
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\migrations\versions\d0962cf3344e_.py", "Python", 0, 27, 0, 0, 0, 12, 7, 46
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\migrations\versions\ed29f6030838_.py", "Python", 0, 17, 0, 0, 0, 12, 8, 37
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\migrations\versions\fb4c9e27788c_.py", "Python", 0, 11, 0, 0, 0, 12, 8, 31
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\models\enum.py", "Python", 0, 13, 0, 0, 0, 0, 5, 18
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\models\models.py", "Python", 0, 81, 0, 0, 0, 1, 22, 104
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\repositories\interview_repo.py", "Python", 0, 4, 0, 0, 0, 0, 3, 7
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\repositories\message_repo.py", "Python", 0, 4, 0, 0, 0, 0, 3, 7
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\repositories\resume_repo.py", "Python", 0, 4, 0, 0, 0, 0, 3, 7
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\repositories\user_repo.py", "Python", 0, 4, 0, 0, 0, 0, 3, 7
"c:\Users\Григорий\OneDrive\Desktop\Mocky\backend\src\schemas\schemas.py", "Python", 0, 76, 0, 0, 0, 5, 33, 114
